# Order Pixel Wavelength(vac)
6 1326 3928.9182 
6 1361 3929.7350 
6 1371 3929.9768 
6 1390 3930.4027 
6 1406 3930.7817 
6 1474 3932.3483 
6 1518 3933.3395 
6 1532 3933.6597 
6 1548 3934.0245 
6 1561 3934.1487 
6 1596 3935.1737 
6 1655 3936.3890 
6 1702 3937.4103 
6 1737 3938.1549 
6 1778 3939.0383 
6 1811 3939.7291 
6 1837 3940.4337 
6 1912 3941.8223 
6 1979 3943.1889 
6 1993 3943.4738 
6 2003 3943.4738 
6 2021 3944.0240 
7 17 3926.2046 
7 37 3926.8302 
7 48 3927.1568 
7 131 3929.7350 
7 165 3930.7817 
7 217 3932.3483 
7 261 3933.6597 
7 273 3934.0245 
7 284 3934.1487 
7 353 3936.3890 
7 468 3939.7291 
7 487 3940.4337 
7 591 3943.1889 
7 608 3943.4738 
7 621 3944.0240 
7 646 3944.7216 
7 670 3945.3876 
7 715 3946.6237 
7 737 3947.2138 
7 748 3947.5089 
7 776 3948.4479 
7 789 3948.6220 
7 809 3949.1477 
7 845 3950.0970 
7 898 3951.5131 
7 914 3951.9229 
7 942 3952.6330 
7 989 3953.8466 
7 1085 3956.2890 
7 1114 3957.0095 
7 1146 3957.8103 
7 1215 3959.4991 
7 1237 3960.0489 
7 1253 3960.4202 
7 1293 3961.3897 
7 1347 3962.6239 
7 1374 3963.3186 
7 1384 3963.5406 
7 1429 3964.5900 
7 1453 3965.1517 
7 1466 3965.4508 
7 1484 3965.8599 
7 1516 3966.6049 
7 1554 3967.4559 
7 1601 3968.5145 
7 1645 3969.4816 
7 1674 3970.1254 
7 1705 3970.7869 
7 1844 3973.7632 
7 1871 3974.3197 
7 1895 3974.8156 
7 1932 3975.6007 
7 1946 3975.8826 
7 1981 3976.5918 
7 1999 3976.9557 
7 2028 3977.5395 
8 7 3959.4991 
8 36 3960.4202 
8 137 3963.5406 
8 301 3968.5145 
8 334 3969.4816 
8 378 3970.7869 
8 480 3973.7632 
8 500 3974.3197 
8 517 3974.8156 
8 545 3975.6007 
8 555 3975.8826 
8 579 3976.5918 
8 593 3976.9557 
8 613 3977.5395 
8 709 3980.1686 
8 720 3980.4810 
8 747 3981.2152 
8 772 3981.8808 
8 784 3982.2323 
8 811 3982.9542 
8 822 3983.2282 
8 836 3983.7334 
8 851 3984.0219 
8 897 3985.2221 
8 927 3986.0064 
8 993 3987.7322 
8 1017 3988.3467 
8 1030 3988.6817 
8 1042 3988.9950 
8 1053 3989.2852 
8 1071 3989.7275 
8 1081 3989.9735 
8 1146 3991.6204 
8 1162 3992.0214 
8 1196 3992.8595 
8 1209 3993.1820 
8 1219 3993.4015 
8 1312 3995.6787 
8 1322 3995.9212 
8 1376 3997.1915 
8 1402 3997.7997 
8 1416 3998.1470 
8 1430 3998.4782 
8 1461 3999.1916 
8 1490 3999.8639 
8 1500 4000.0832 
8 1513 4000.3826 
8 1558 4001.4120 
8 1578 4001.8801 
8 1592 4002.1892 
8 1630 4003.0248 
8 1651 4003.5079 
8 1684 4004.2373 
8 1694 4004.4403 
8 1706 4004.7058 
8 1776 4006.2250 
8 1788 4006.4944 
8 1816 4007.0939 
8 1836 4007.5131 
8 1867 4008.1515 
8 1896 4008.7650 
8 1924 4009.3432 
8 1965 4010.1905 
8 2002 4010.9528 
9 78 3995.9212 
9 222 4000.3826 
9 257 4001.4120 
9 282 4002.1892 
9 310 4003.0248 
9 325 4003.5079 
9 366 4004.7058 
9 427 4006.4944 
9 448 4007.0939 
9 462 4007.5131 
9 484 4008.1515 
9 526 4009.3432 
9 555 4010.1905 
9 581 4010.9528 
9 631 4012.3423 
9 650 4012.8738 
9 667 4013.3257 
9 677 4013.6292 
9 727 4014.9907 
9 758 4015.8511 
9 804 4017.2480 
9 884 4019.2346 
9 923 4020.2647 
9 936 4020.6034 
9 950 4020.9796 
9 970 4021.4903 
9 1000 4022.2861 
9 1023 4022.8871 
9 1036 4023.2040 
9 1085 4024.4747 
9 1143 4025.9398 
9 1177 4026.7931 
9 1197 4027.2704 
9 1232 4028.1470 
9 1254 4028.6845 
9 1312 4030.0980 
9 1327 4030.4606 
9 1348 4030.9642 
9 1391 4031.9813 
9 1401 4032.2106 
9 1413 4032.5161 
9 1452 4033.5925 
9 1465 4033.7345 
9 1518 4034.9488 
9 1590 4036.5997 
9 1616 4037.1880 
9 1639 4037.7056 
9 1684 4038.7021 
9 1714 4039.3695 
9 1740 4039.9450 
9 1789 4041.0061 
9 1852 4042.3452 
9 1898 4043.3320 
9 1932 4044.0356 
9 1956 4044.5369 
9 2006 4045.5610 
9 2031 4046.0695 
10 86 4030.9642 
10 119 4031.9813 
10 136 4032.5161 
10 175 4033.7345 
10 214 4034.9488 
10 268 4036.5997 
10 288 4037.1880 
10 305 4037.7056 
10 338 4038.7021 
10 360 4039.3695 
10 380 4039.9450 
10 416 4041.0061 
10 461 4042.3452 
10 495 4043.3320 
10 519 4044.0356 
10 537 4044.5369 
10 572 4045.5610 
10 590 4046.0695 
10 601 4046.3695 
10 617 4046.8198 
10 627 4047.1084 
10 637 4047.3951 
10 657 4047.9678 
10 681 4048.6237 
10 710 4049.4311 
10 755 4050.6799 
10 770 4051.0886 
10 813 4052.2660 
10 827 4052.6434 
10 880 4054.0654 
10 903 4054.6850 
10 940 4055.6716 
10 997 4057.1533 
10 1021 4057.7817 
10 1061 4058.8180 
10 1071 4059.0872 
10 1110 4060.0827 
10 1123 4060.3992 
10 1217 4062.7724 
10 1289 4064.5546 
10 1327 4065.4792 
10 1360 4066.2594 
10 1381 4066.7667 
10 1415 4067.5834 
10 1431 4067.9703 
10 1458 4068.5993 
10 1476 4069.0246 
10 1502 4069.6191 
10 1512 4069.8539 
10 1533 4070.3504 
10 1544 4070.6103 
10 1578 4071.3875 
10 1602 4071.9415 
10 1645 4072.9009 
10 1656 4073.1527 
10 1673 4073.5342 
10 1697 4074.0590 
10 1740 4075.0064 
10 1815 4076.6536 
10 1834 4077.0577 
10 1867 4077.7792 
10 1882 4078.0943 
10 1914 4078.7736 
10 1947 4079.4529 
10 1974 4080.0266 
10 2008 4080.7252 
11 29 4064.5546 
11 58 4065.4792 
11 83 4066.2594 
11 157 4068.5993 
11 222 4070.6103 
11 249 4071.3875 
11 265 4071.9415 
11 305 4073.1527 
11 318 4073.5342 
11 366 4075.0064 
11 422 4076.6536 
11 435 4077.0577 
11 460 4077.7792 
11 471 4078.0943 
11 517 4079.4529 
11 537 4080.0266 
11 561 4080.7252 
11 588 4081.5099 
11 598 4081.8543 
11 624 4082.5199 
11 660 4083.5393 
11 698 4084.6215 
11 720 4085.2421 
11 755 4086.1953 
11 769 4086.5873 
11 782 4086.9689 
11 808 4087.6740 
11 836 4088.4385 
11 890 4089.8805 
11 905 4090.2921 
11 976 4092.1831 
11 988 4092.5019 
11 1003 4092.8916 
11 1013 4093.1428 
11 1067 4094.5474 
11 1077 4094.8267 
11 1119 4095.9026 
11 1137 4096.3529 
11 1172 4097.2320 
11 1182 4097.4880 
11 1214 4098.2915 
11 1238 4098.9037 
11 1278 4099.8882 
11 1307 4100.6124 
11 1329 4101.1506 
11 1343 4101.4984 
11 1367 4102.0764 
11 1425 4103.4528 
11 1438 4103.7755 
11 1493 4105.0700 
11 1513 4105.5403 
11 1532 4105.9969 
11 1542 4106.2216 
11 1628 4108.2095 
11 1639 4108.4453 
11 1664 4109.0205 
11 1689 4109.5791 
11 1729 4110.4829 
11 1783 4111.6740 
11 1798 4111.9858 
11 1834 4112.7756 
11 1857 4113.2655 
11 1870 4113.3618 
11 1887 4113.9148 
11 1940 4115.0350 
11 1969 4115.6506 
11 2030 4116.9200 
12 31 4100.6124 
12 58 4101.4984 
12 76 4102.0764 
12 130 4103.7755 
12 171 4105.0700 
12 201 4105.9969 
12 272 4108.2095 
12 299 4109.0205 
12 317 4109.5791 
12 346 4110.4829 
12 396 4111.9858 
12 449 4113.3618 
12 462 4113.9148 
12 499 4115.0350 
12 520 4115.6506 
12 564 4116.9200 
12 585 4117.5370 
12 597 4117.8751 
12 659 4119.6512 
12 809 4123.8613 
12 842 4124.7641 
12 858 4125.2037 
12 885 4125.9421 
12 944 4127.5137 
12 983 4128.5762 
12 1008 4129.2143 
12 1030 4129.8045 
12 1046 4130.2378 
12 1070 4130.8469 
12 1121 4132.1673 
12 1148 4132.8886 
12 1189 4133.9190 
12 1241 4135.2339 
12 1252 4135.4896 
12 1298 4136.6463 
12 1331 4137.4520 
12 1403 4139.2076 
12 1438 4140.0573 
12 1494 4141.4026 
12 1558 4142.8853 
12 1590 4143.6423 
12 1600 4143.8692 
12 1615 4144.2140 
12 1628 4144.5068 
12 1641 4144.8176 
12 1667 4145.4140 
12 1682 4145.7446 
12 1703 4146.2172 
12 1714 4146.4656 
12 1808 4148.5470 
12 1844 4149.3512 
12 1870 4149.8968 
12 1933 4151.2593 
12 1983 4152.3157 
13 12 4136.6463 
13 40 4137.4520 
13 91 4139.2076 
13 160 4141.4026 
13 206 4142.8853 
13 238 4143.8692 
13 269 4144.8176 
13 288 4145.4140 
13 391 4148.5470 
13 417 4149.3512 
13 435 4149.8968 
13 481 4151.2593 
13 517 4152.3157 
13 600 4154.7455 
13 640 4155.8919 
13 687 4157.2572 
13 703 4157.6884 
13 730 4158.4524 
13 777 4159.7620 
13 796 4160.3263 
13 819 4160.9390 
13 890 4162.9121 
13 919 4163.6825 
13 929 4163.9562 
13 961 4164.8207 
13 981 4165.3540 
13 1011 4166.1475 
13 1040 4166.9404 
13 1092 4168.4489 
13 1103 4168.4489 
13 1128 4169.2213 
13 1151 4169.8091 
13 1164 4170.1448 
13 1197 4171.0055 
13 1225 4171.7087 
13 1235 4171.9612 
13 1257 4172.5168 
13 1341 4174.6238 
13 1418 4176.5003 
13 1460 4177.5127 
13 1494 4178.3421 
13 1532 4179.2373 
13 1545 4179.5427 
13 1565 4180.0258 
13 1585 4180.4751 
13 1599 4180.7958 
13 1613 4181.1381 
13 1629 4181.5054 
13 1641 4181.8993 
13 1697 4183.0625 
13 1773 4184.7699 
13 1797 4185.3167 
13 1818 4185.7837 
13 1832 4186.0848 
13 1843 4186.3241 
13 1858 4186.6488 
13 1935 4188.3209 
13 2007 4189.8427 
14 175 4179.2373 
14 185 4179.5427 
14 200 4180.0258 
14 214 4180.4751 
14 227 4180.8929 
14 256 4181.8993 
14 297 4183.0625 
14 352 4184.7699 
14 370 4185.3167 
14 385 4185.7837 
14 403 4186.3241 
14 414 4186.6488 
14 470 4188.3209 
14 522 4189.8427 
14 554 4190.8313 
14 590 4191.8940 
14 601 4192.2100 
14 647 4193.5433 
14 670 4194.1978 
14 687 4194.6993 
14 737 4196.1180 
14 759 4196.7399 
14 769 4197.0148 
14 858 4199.5000 
14 915 4201.0720 
14 942 4201.8580 
14 976 4202.7394 
14 992 4203.1552 
14 1003 4203.4477 
14 1045 4204.5947 
14 1069 4205.2256 
14 1169 4207.8411 
14 1190 4208.3608 
14 1207 4208.7974 
14 1238 4209.5963 
14 1256 4209.9339 
14 1269 4210.3821 
14 1299 4211.1586 
14 1319 4211.6430 
14 1337 4212.1092 
14 1424 4214.2540 
14 1437 4214.5647 
14 1497 4216.0155 
14 1531 4216.8147 
14 1549 4217.2573 
14 1562 4217.5598 
14 1607 4218.6185 
14 1640 4219.3744 
14 1660 4219.8530 
14 1721 4221.2536 
14 1751 4221.9211 
14 1769 4222.3419 
14 1793 4222.8811 
14 1814 4223.3419 
14 1836 4223.8262 
14 1872 4224.6298 
14 1909 4225.4310 
14 1967 4226.6793 
14 2005 4227.4896 
14 2019 4227.7994 
15 17 4212.1092 
15 82 4214.2540 
15 92 4214.5647 
15 137 4216.0155 
15 175 4217.2573 
15 185 4217.5598 
15 218 4218.6185 
15 257 4219.8530 
15 302 4221.2536 
15 323 4221.9211 
15 336 4222.3419 
15 354 4222.8811 
15 385 4223.8262 
15 411 4224.6298 
15 437 4225.4310 
15 479 4226.6793 
15 506 4227.4896 
15 516 4227.7994 
15 529 4228.1778 
15 542 4228.5777 
15 568 4229.3484 
15 589 4229.9512 
15 601 4230.3387 
15 626 4231.0556 
15 645 4231.6180 
15 659 4232.0156 
15 691 4232.9412 
15 745 4234.4794 
15 766 4235.0981 
15 778 4235.4227 
15 809 4236.4279 
15 821 4236.6561 
15 842 4237.2418 
15 854 4237.5827 
15 884 4238.4126 
15 978 4240.9848 
15 1026 4242.2889 
15 1049 4242.8946 
15 1059 4243.1669 
15 1074 4243.5337 
15 1087 4243.9143 
15 1108 4244.4558 
15 1122 4244.8350 
15 1133 4245.1189 
15 1184 4246.6415 
15 1196 4246.7529 
15 1225 4247.5176 
15 1244 4247.9893 
15 1275 4248.7946 
15 1290 4249.1845 
15 1306 4249.5868 
15 1350 4250.6724 
15 1383 4251.5110 
15 1402 4251.9716 
15 1418 4252.3820 
15 1515 4254.7358 
15 1528 4255.0649 
15 1550 4255.5755 
15 1586 4256.4351 
15 1602 4256.8006 
15 1629 4257.4517 
15 1647 4257.8610 
15 1683 4258.6946 
15 1727 4259.7191 
15 1763 4260.5610 
15 1807 4261.5320 
15 1821 4262.0020 
15 1836 4262.1838 
15 1849 4262.4747 
15 1859 4262.6915 
15 1910 4263.8121 
15 1944 4264.5561 
15 1978 4265.3066 
15 1989 4265.5401 
16 39 4251.5110 
16 54 4251.9716 
16 65 4252.3820 
16 137 4254.7358 
16 189 4256.4351 
16 201 4256.8006 
16 221 4257.4517 
16 235 4257.8610 
16 260 4258.6946 
16 293 4259.7191 
16 320 4260.5610 
16 351 4261.5320 
16 372 4262.1838 
16 388 4262.6915 
16 424 4263.8121 
16 449 4264.5561 
16 482 4265.5401 
16 546 4267.4870 
16 595 4268.9310 
16 669 4271.1443 
16 683 4271.5308 
16 697 4271.9367 
16 721 4272.6417 
16 747 4273.3710 
16 771 4274.0769 
16 788 4274.5600 
16 811 4275.2277 
16 823 4275.5581 
16 839 4276.0195 
16 852 4276.3623 
16 867 4276.7709 
16 911 4278.0108 
16 935 4278.7316 
16 966 4279.5271 
16 993 4280.2668 
16 1014 4280.8422 
16 1048 4281.7725 
16 1067 4282.2724 
16 1080 4282.6192 
16 1103 4283.2461 
16 1115 4283.5745 
16 1135 4284.1022 
16 1159 4284.7236 
16 1208 4286.1805 
16 1223 4286.3880 
16 1252 4287.1453 
16 1268 4287.5627 
16 1282 4287.9067 
16 1297 4288.2870 
16 1331 4289.1598 
16 1359 4289.8754 
16 1399 4290.8620 
16 1428 4291.6007 
16 1451 4292.1609 
16 1486 4293.0172 
16 1506 4293.5133 
16 1607 4295.9275 
16 1628 4296.4450 
16 1643 4296.7934 
16 1653 4297.0239 
16 1717 4298.5155 
16 1745 4299.1723 
16 1828 4301.0488 
16 1840 4301.3110 
16 1864 4301.8591 
16 1975 4304.3039 
16 1988 4304.5972 
16 2016 4305.1999 
17 8 4289.8754 
17 38 4290.8620 
17 59 4291.6007 
17 102 4293.0172 
17 192 4295.9275 
17 219 4296.7934 
17 272 4298.5155 
17 293 4299.1723 
17 345 4300.8447 
17 360 4301.3110 
17 378 4301.8591 
17 457 4304.3039 
17 467 4304.5972 
17 486 4305.1999 
17 500 4305.6286 
17 518 4306.1674 
17 537 4306.5461 
17 565 4307.5760 
17 592 4308.3876 
17 623 4309.3336 
17 639 4309.8120 
17 661 4310.3051 
17 683 4311.0990 
17 724 4312.2764 
17 749 4313.0122 
17 790 4314.1972 
17 837 4315.5329 
17 870 4316.4678 
17 900 4317.3232 
17 916 4317.5865 
17 946 4318.7502 
17 963 4319.0543 
17 984 4319.6302 
17 1046 4321.3412 
17 1062 4321.7705 
17 1077 4322.1942 
17 1094 4322.6480 
17 1105 4322.9416 
17 1208 4325.6580 
17 1225 4326.1157 
17 1240 4326.4903 
17 1262 4327.0763 
17 1308 4328.2518 
17 1319 4328.5532 
17 1334 4328.9314 
17 1382 4330.1325 
17 1402 4330.6559 
17 1441 4331.6295 
17 1459 4332.0614 
17 1473 4332.4170 
17 1507 4333.2475 
17 1519 4333.5576 
17 1570 4334.7790 
17 1644 4336.5570 
17 1660 4336.9521 
17 1692 4337.6796 
17 1717 4338.2899 
17 1762 4339.3274 
17 1817 4340.5963 
17 1839 4341.0917 
17 1885 4342.1157 
17 1937 4343.2681 
17 1954 4343.6650 
17 1965 4343.8963 
17 1979 4344.1956 
17 1997 4344.6027 
17 2008 4344.8246 
17 2023 4345.1726 
18 12 4330.1325 
18 27 4330.6559 
18 70 4332.0614 
18 80 4332.4170 
18 105 4333.2475 
18 151 4334.7790 
18 206 4336.5570 
18 217 4336.9521 
18 259 4338.2899 
18 295 4339.4509 
18 332 4340.5963 
18 347 4341.0917 
18 379 4342.1157 
18 416 4343.2681 
18 429 4343.6650 
18 446 4344.1956 
18 459 4344.6027 
18 478 4345.1726 
18 490 4345.5478 
18 517 4346.3900 
18 541 4347.1185 
18 559 4347.6585 
18 612 4349.2858 
18 647 4350.2947 
18 687 4351.4945 
18 721 4352.4950 
18 753 4353.4281 
18 767 4353.8356 
18 796 4354.6722 
18 838 4355.8841 
18 887 4357.2688 
18 943 4358.8380 
18 968 4359.5449 
18 1006 4360.5971 
18 1035 4361.3926 
18 1055 4361.9434 
